datetime,item_category,ad_id,user_id,retailer_id,was_viewed,was_clicked,page_number,device_id,search_keyword
2023-01-01 00:00:00,Sports & Outdoors,175,134,1,False,False,9,2,yoga mat
2023-01-01 01:44:51,"Home, Garden, Pets & DIY",174,321,5,False,False,2,1,sofa
2023-01-01 03:29:42,Food & Grocery,180,390,4,False,False,5,3,olive oil
2023-01-01 05:14:33,"Toys, Children & Baby",19,434,7,False,False,2,3,baby stroller
2023-01-01 06:59:24,Sports & Outdoors,205,22,5,False,False,1,1,running shoes
2023-01-01 08:44:15,Car & Motorbike,106,361,8,False,False,7,1,motorcycle helmet
2023-01-01 10:29:07,Electronics & Computers,21,88,1,True,False,4,3,camera
2023-01-01 12:13:58,Sports & Outdoors,64,153,5,True,False,5,1,yoga mat
2023-01-01 13:58:49,Food & Grocery,165,125,4,False,False,4,3,chocolate
2023-01-01 15:43:40,"Toys, Children & Baby",27,79,3,False,False,6,3,board game
2023-01-01 17:28:31,"Home, Garden, Pets & DIY",55,346,5,False,False,2,1,sofa
2023-01-01 19:13:22,Food & Grocery,244,456,3,False,False,8,2,olive oil
2023-01-01 20:58:14,Food & Grocery,29,51,8,False,False,4,2,chocolate
2023-01-01 22:43:05,Electronics & Computers,148,216,3,False,False,8,2,laptop
2023-01-02 00:27:56,"Clothes, Shoes, Jewellery & Accessories",25,176,1,False,False,3,2,women's dress
2023-01-02 02:12:47,"Toys, Children & Baby",70,358,9,True,True,5,2,board game
2023-01-02 03:57:38,"Films, TV, Music & Games",63,253,9,False,False,3,2,action movie
2023-01-02 05:42:30,Food & Grocery,164,454,6,False,False,7,2,chocolate
2023-01-02 07:27:21,"Clothes, Shoes, Jewellery & Accessories",130,246,1,True,False,3,1,women's dress
2023-01-02 09:12:12,"Films, TV, Music & Games",150,227,8,True,True,8,1,comedy film
2023-01-02 10:57:03,"Toys, Children & Baby",224,106,2,False,False,9,2,toy robot
2023-01-02 12:41:54,Books,16,193,9,True,True,2,1,romance novel
2023-01-02 14:26:45,Car & Motorbike,146,316,8,True,False,3,3,car wax
2023-01-02 16:11:37,"Clothes, Shoes, Jewellery & Accessories",197,302,3,True,False,7,2,necklace
2023-01-02 17:56:28,Health & Beauty,182,36,5,False,False,5,3,hair dryer
2023-01-02 19:41:19,Books,100,442,9,False,False,7,1,fiction book
2023-01-02 21:26:10,Car & Motorbike,30,204,1,True,True,2,2,car wax
2023-01-02 23:11:01,Electronics & Computers,45,422,9,False,False,4,3,tablet
2023-01-03 00:55:52,Sports & Outdoors,19,267,4,False,False,1,1,outdoor tent
